City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yellowknife,90,CA,1571197056,80,62.45,-114.38,33.8,14.99
1,sorong,31,ID,1571197056,90,-0.86,131.25,81.77,2.81
2,san patricio,100,PY,1571197057,93,-26.98,-56.83,61.25,4.39
3,bluff,0,AU,1571197057,28,-23.58,149.07,92.57,9.48
4,kanye,59,BW,1571197057,74,-24.98,25.34,63.05,4.05
5,albany,20,US,1571197058,81,42.65,-73.75,45.0,4.17
6,biankouma,100,CI,1571197059,99,7.74,-7.61,68.27,2.19
7,barrow,88,AR,1571197060,95,-38.31,-60.23,41.81,8.1
8,bukoba,75,TZ,1571197060,88,-1.33,31.81,66.2,8.61
9,ozerki,40,RU,1571197061,75,53.63,83.71,44.6,15.66
10,tasiilaq,13,GL,1571197061,54,65.61,-37.64,32.0,2.24
11,rize,75,TR,1571197061,88,41.02,40.52,62.6,4.7
12,houma,96,CN,1571197062,87,35.63,111.36,46.13,4.13
13,hithadhoo,100,MV,1571197062,78,-0.6,73.08,80.15,6.83
14,ushuaia,3,AR,1571197063,86,-54.81,-68.31,41.0,4.7
15,hobart,40,AU,1571197063,61,-42.88,147.33,64.0,6.93
16,novo aripuana,65,BR,1571197063,92,-5.12,-60.38,73.67,2.04
17,jamestown,97,AU,1571197063,57,-33.21,138.6,61.79,10.1
18,punta arenas,0,CL,1571197064,70,-53.16,-70.91,44.01,8.99
19,new norfolk,40,AU,1571197064,33,-42.78,147.06,64.0,6.93
20,rikitea,67,PF,1571197065,88,-23.12,-134.97,74.57,6.51
21,djambala,77,CG,1571197065,96,-2.55,14.76,66.65,2.07
22,bredasdorp,0,ZA,1571197066,87,-34.53,20.04,51.01,3.36
23,faanui,44,PF,1571197066,76,-16.48,-151.75,79.79,9.73
24,tres arroyos,82,AR,1571197066,91,-38.38,-60.28,40.91,7.5
25,ranong,40,TH,1571197067,74,9.96,98.62,87.8,4.7
26,butaritari,100,KI,1571197067,80,3.07,172.79,79.25,4.05
27,saskylakh,100,RU,1571197067,96,71.97,114.09,11.75,5.24
28,rocha,100,UY,1571197068,84,-34.48,-54.34,52.79,8.73
29,georgetown,20,GY,1571197068,100,6.8,-58.16,75.2,9.74
30,horta,40,BR,1571197069,69,-10.93,-37.66,78.8,13.87
31,bonthe,92,SL,1571197069,91,7.53,-12.5,77.09,4.2
32,atuona,0,PF,1571197069,74,-9.8,-139.03,79.79,17.84
33,busselton,47,AU,1571197070,52,-33.64,115.35,64.99,1.99
34,lamar,1,US,1571197070,41,38.09,-102.62,42.8,6.74
35,gairo,62,TZ,1571197071,97,-6.14,36.87,62.69,2.68
36,vardo,1,US,1571197071,58,39.62,-77.74,59.0,3.36
37,severo-kurilsk,95,RU,1571197071,78,50.68,156.12,36.95,29.78
38,cidreira,95,BR,1571197071,82,-30.17,-50.22,65.93,26.21
39,thompson,90,CA,1571197071,86,55.74,-97.86,30.2,5.82
40,tateyama,20,JP,1571197072,52,36.66,137.31,66.2,10.29
41,qaanaaq,100,GL,1571197072,95,77.48,-69.36,18.05,5.36
42,leningradskiy,95,RU,1571197072,82,69.38,178.42,35.87,12.24
43,kapaa,75,US,1571197073,83,22.08,-159.32,78.8,14.99
44,ndago,100,BI,1571197074,66,-3.88,29.65,71.15,5.58
45,port shepstone,0,ZA,1571197074,83,-30.74,30.45,58.01,1.48
46,kathu,0,ZA,1571197074,45,-27.7,23.05,57.0,9.3
47,souillac,67,FR,1571197075,93,45.6,-0.6,53.6,9.17
48,whitehorse,90,CA,1571197075,92,60.72,-135.06,30.99,4.7
49,tsevie,40,TG,1571197075,94,6.43,1.21,78.8,4.7
50,verkhovazhye,60,RU,1571197076,96,60.75,42.05,30.11,2.4
51,palmer,20,AU,1571197076,59,-34.85,139.16,61.0,14.99
52,meulaboh,51,ID,1571197076,78,4.14,96.13,80.51,1.89
53,port alfred,20,ZA,1571197077,83,-33.59,26.89,57.99,4.47
54,mataura,86,NZ,1571197077,71,-46.19,168.86,57.99,5.01
55,nikolskoye,40,RU,1571197077,86,59.7,30.79,37.4,11.18
